button,bank0,bank1,bank2
0,0x807F02FD,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
1,0x807FC837,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
2,0x807F9867,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
3,0x807F58A7,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
4,0x807F32CD,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
5,0x807F6897,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
6,0x807F8A75,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
7,0x807F8877,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
8,0x807F0AF5,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
9,0x807F728D,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
10,0x807FB04F,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
11,0x807F30CF,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
12,0x807F52AD,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
13,0x807F906F,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
14,0x807F10EF,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
15,0x807F9867,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
16,0x807FA05F,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
17,0x807F20DF,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
18,0x807F807F,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
19,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF,0xFFFFFFFFFFFFFFFF
